,datehour,dateofposting,int
0,2018-04-17 04:01:00,12,1523937660000.0
1,2018-04-17 04:02:00,16,1523937720000.0
2,2018-04-17 04:03:00,4,1523937780000.0
3,2018-04-17 04:04:00,11,1523937840000.0
4,2018-04-17 04:05:00,11,1523937900000.0
5,2018-04-17 04:06:00,4,1523937960000.0
6,2018-04-17 04:07:00,7,1523938020000.0
7,2018-04-17 04:08:00,10,1523938080000.0
8,2018-04-17 04:09:00,10,1523938140000.0
9,2018-04-17 04:10:00,8,1523938200000.0
10,2018-04-17 04:11:00,9,1523938260000.0
11,2018-04-17 04:12:00,13,1523938320000.0
12,2018-04-17 04:13:00,11,1523938380000.0
13,2018-04-17 04:14:00,8,1523938440000.0
14,2018-04-17 04:15:00,10,1523938500000.0
15,2018-04-17 04:16:00,13,1523938560000.0
16,2018-04-17 04:17:00,9,1523938620000.0
17,2018-04-17 04:18:00,12,1523938680000.0
18,2018-04-17 04:19:00,13,1523938740000.0
19,2018-04-17 04:20:00,11,1523938800000.0
20,2018-04-17 04:21:00,16,1523938860000.0
21,2018-04-17 04:22:00,17,1523938920000.0
22,2018-04-17 04:23:00,11,1523938980000.0
23,2018-04-17 04:24:00,9,1523939040000.0
24,2018-04-17 04:25:00,10,1523939100000.0
25,2018-04-17 04:26:00,9,1523939160000.0
26,2018-04-17 04:27:00,12,1523939220000.0
27,2018-04-17 04:28:00,14,1523939280000.0
28,2018-04-17 04:29:00,9,1523939340000.0
29,2018-04-17 04:30:00,18,1523939400000.0
30,2018-04-17 04:31:00,5,1523939460000.0
31,2018-04-17 04:32:00,6,1523939520000.0
32,2018-04-17 04:33:00,7,1523939580000.0
33,2018-04-17 04:34:00,7,1523939640000.0
34,2018-04-17 04:35:00,14,1523939700000.0
35,2018-04-17 04:36:00,6,1523939760000.0
36,2018-04-17 04:37:00,7,1523939820000.0
37,2018-04-17 04:38:00,8,1523939880000.0
38,2018-04-17 04:39:00,16,1523939940000.0
39,2018-04-17 04:40:00,11,1523940000000.0
40,2018-04-17 04:41:00,11,1523940060000.0
41,2018-04-17 04:42:00,10,1523940120000.0
42,2018-04-17 04:43:00,12,1523940180000.0
43,2018-04-17 04:44:00,3,1523940240000.0
44,2018-04-17 04:45:00,12,1523940300000.0
45,2018-04-17 04:46:00,14,1523940360000.0
46,2018-04-17 04:47:00,7,1523940420000.0
47,2018-04-17 04:48:00,8,1523940480000.0
48,2018-04-17 04:49:00,10,1523940540000.0
49,2018-04-17 04:50:00,12,1523940600000.0
50,2018-04-17 04:51:00,9,1523940660000.0
51,2018-04-17 04:52:00,12,1523940720000.0
52,2018-04-17 04:53:00,10,1523940780000.0
53,2018-04-17 04:54:00,10,1523940840000.0
54,2018-04-17 04:55:00,7,1523940900000.0
55,2018-04-17 04:56:00,12,1523940960000.0
56,2018-04-17 04:57:00,15,1523941020000.0
57,2018-04-17 04:58:00,10,1523941080000.0
58,2018-04-17 04:59:00,7,1523941140000.0
59,2018-04-17 05:00:00,16,1523941200000.0
60,2018-04-17 05:01:00,7,1523941260000.0
61,2018-04-17 05:02:00,13,1523941320000.0
